Author,We,Baby,Doctor,Partner,Nurse,Midwife,Family,Anesthesiologist,Doula,Induction
81,17,4,0,5,1,3,0,0,0,0
58,10,8,1,4,2,0,2,1,0,1
99,2,8,5,4,2,0,1,1,0,1
40,0,0,3,0,5,0,1,0,0,7
82,7,4,2,7,7,0,1,0,0,4
55,5,4,6,4,12,0,0,2,0,4
44,14,6,3,8,1,0,0,0,0,1
63,2,3,0,3,0,3,0,1,0,1
89,4,16,3,8,2,5,1,0,0,1
39,0,3,1,1,1,0,3,0,0,7
101,14,7,1,11,3,9,0,0,11,0
39,6,3,1,0,0,0,0,0,0,0
39,5,8,0,1,0,0,0,1,0,0
24,8,2,0,0,0,0,0,0,0,0
44,4,0,6,3,3,0,0,0,0,5
29,9,7,0,0,0,0,0,0,0,2
92,3,8,9,6,2,0,0,0,0,8
60,8,4,0,3,0,0,1,0,0,0
66,1,1,3,8,0,2,1,0,0,0
61,6,5,3,4,0,5,0,0,0,1
179,20,8,7,11,9,0,0,0,0,5
80,10,4,1,1,0,1,0,0,0,0
25,14,0,0,1,0,3,1,0,0,0
79,8,4,7,3,5,0,0,3,0,2
96,13,11,1,0,2,11,0,0,0,1
48,1,4,7,2,0,0,0,0,0,0
142,11,13,9,8,1,4,1,3,0,6
99,8,9,7,6,10,0,4,2,0,1
30,3,2,4,0,2,0,0,0,0,2
85,10,4,0,10,0,4,0,0,0,0
83,3,5,1,0,1,3,2,0,0,11
25,8,2,6,6,0,0,0,0,0,1
98,13,13,1,0,2,11,0,0,0,1
71,23,6,7,1,3,0,1,1,0,0
278,25,16,8,14,15,0,9,7,0,10
19,1,1,4,0,0,0,0,0,0,6
26,3,0,1,1,0,0,0,0,0,4
54,2,2,0,5,0,1,1,0,0,0
45,15,6,4,1,0,0,0,0,0,2
72,2,2,0,3,0,8,0,0,0,0
120,6,13,0,4,1,0,0,1,0,0
82,10,6,0,8,0,3,0,0,0,0
61,13,4,5,8,2,0,3,0,0,1
52,0,1,2,0,4,0,0,0,0,4
44,2,2,6,3,1,0,2,0,0,1
31,7,4,2,0,0,2,0,0,0,1
47,2,4,3,2,0,0,0,0,0,2
31,10,2,1,3,1,0,1,0,0,2
35,3,5,1,1,0,0,0,0,1,4
52,4,8,11,4,6,0,1,1,0,5
74,0,2,2,7,0,4,5,0,0,0
104,33,11,4,4,0,4,1,0,0,0
60,1,10,7,1,0,1,1,0,0,4
39,8,2,1,4,3,3,0,0,0,8
121,6,9,1,7,4,2,0,2,0,1
47,5,10,3,3,0,0,0,1,1,8
58,8,6,1,3,0,2,0,0,0,2
22,11,1,4,2,3,0,0,1,0,8
36,3,2,3,2,2,0,2,0,0,4
31,1,0,0,0,0,3,0,0,0,1
18,5,2,5,0,0,0,2,0,0,3
52,1,0,3,5,2,0,0,0,0,0
52,1,0,3,5,2,0,0,0,0,0
268,4,26,17,18,4,0,0,0,0,1
80,13,4,3,5,3,0,1,0,3,4
21,5,4,0,2,0,0,1,0,0,0
56,2,8,1,3,2,3,1,0,0,0
102,0,10,4,3,5,0,1,1,0,10
93,8,9,0,9,2,4,0,1,0,0
46,2,2,3,4,0,3,0,0,0,0
39,9,8,2,4,0,0,1,0,0,3
53,3,3,3,0,2,0,0,0,0,1
38,18,7,3,1,0,0,2,0,0,1
64,4,5,1,1,3,0,0,1,0,2
36,4,10,2,3,0,0,1,0,0,5
294,6,24,13,21,9,12,3,1,0,7
44,5,5,0,1,0,0,1,0,0,1
39,5,3,3,2,0,3,0,0,0,0
114,14,7,10,7,1,0,0,0,0,1
59,4,3,7,0,5,0,0,2,0,6
68,12,6,5,0,5,0,0,2,0,27
24,7,8,5,2,1,0,1,0,0,5
92,7,12,0,0,0,8,0,0,0,0
56,1,7,1,8,0,0,2,0,0,0
46,4,5,2,3,0,0,0,0,0,1
28,1,4,1,0,2,0,1,0,0,2
24,6,9,1,3,0,0,0,0,0,0
50,0,0,1,3,0,0,0,0,0,1
55,4,2,2,2,0,0,1,0,0,2
51,6,6,1,3,0,0,0,1,0,0
25,2,0,0,0,0,0,0,0,0,5
21,9,2,0,0,0,2,0,0,0,0
153,27,9,8,4,11,0,0,0,0,10
12,25,8,6,18,1,0,1,0,0,1
27,8,6,0,1,0,0,0,0,0,0
31,1,7,2,0,1,0,0,0,0,6
48,4,4,2,3,0,2,0,0,0,5
81,13,8,0,0,0,4,1,0,0,2
27,2,27,3,3,0,0,31,0,0,0
46,5,5,0,6,0,4,0,0,0,1
23,14,0,0,0,3,0,0,0,0,0
47,4,4,4,1,1,0,0,0,0,11
80,1,8,3,2,2,3,0,0,0,0
100,2,1,5,2,0,0,0,0,0,4
44,1,2,1,1,2,0,1,0,0,0
35,3,5,1,5,0,0,1,0,0,0
53,2,4,0,1,0,0,0,0,0,0
19,6,6,3,3,0,0,0,2,0,2
179,12,15,2,10,7,0,7,1,0,0
62,0,8,0,1,0,8,0,0,0,5
72,0,4,8,2,0,0,0,0,0,1
68,3,5,0,3,2,0,0,0,0,3
38,3,7,3,0,2,0,0,3,0,5
38,3,7,3,0,2,0,0,3,0,5
117,14,15,5,13,11,11,2,0,0,1
36,8,3,1,1,0,0,0,1,0,6
81,11,6,0,8,0,3,1,0,5,0
54,18,13,2,9,5,0,0,0,0,0
27,6,1,2,1,0,0,0,1,0,1
59,6,6,7,6,5,0,0,0,0,10
37,6,3,0,0,1,0,2,0,0,0
33,2,2,3,0,2,0,0,0,0,2
161,21,13,5,9,5,0,0,1,0,6
82,30,7,3,7,3,0,7,2,0,2
41,1,3,0,5,0,1,0,1,0,0
43,1,7,0,7,0,7,2,0,0,0
29,1,2,1,1,2,0,1,0,0,3
50,3,1,1,0,0,1,0,0,0,2
80,1,2,4,2,7,0,1,0,0,11
83,2,15,1,1,0,4,0,0,0,0
65,5,6,0,5,1,11,0,0,3,9
93,7,4,3,0,0,0,3,0,0,3
45,3,2,6,1,3,0,0,1,0,9
123,10,10,7,6,8,0,0,2,0,1
19,5,10,0,0,0,0,1,0,0,0
25,22,8,1,9,1,6,2,0,2,0
89,16,19,7,3,5,2,2,2,0,8
65,7,4,1,6,0,1,1,0,0,0
94,39,10,2,9,2,0,2,1,2,0
80,17,9,9,7,9,0,1,1,0,0
67,13,5,6,2,4,0,2,1,0,0
191,34,24,0,13,6,9,1,0,16,3
32,3,1,0,2,0,6,0,0,0,0
21,0,6,5,2,0,0,0,0,0,5
63,25,8,0,7,2,0,0,1,0,0
132,8,9,2,4,5,3,0,0,0,0
58,2,2,0,3,0,0,1,0,0,0
29,18,8,3,15,2,0,1,1,0,1
44,13,11,0,4,0,7,0,0,0,0
105,6,10,1,2,0,9,0,0,0,0
48,3,6,5,0,0,0,1,0,0,0
67,5,5,5,2,1,0,0,0,0,2
75,2,2,4,2,4,0,0,0,0,0
74,2,6,2,2,4,0,0,0,0,1
63,6,5,2,5,0,0,0,0,6,0
31,3,5,1,4,1,2,0,0,0,4
129,6,11,12,3,15,0,0,1,0,1
112,1,4,3,1,6,0,1,0,0,7
29,2,5,1,0,3,0,0,0,0,10
39,0,2,7,1,0,0,0,1,0,6
36,1,3,1,1,2,0,0,0,0,8
42,9,9,1,2,1,3,1,0,0,0
62,45,7,4,6,10,0,0,0,0,4
94,20,7,5,5,4,0,0,1,0,11
56,8,2,0,2,1,9,0,0,0,1
20,2,6,3,2,0,0,0,1,0,4
40,3,3,0,0,0,2,0,0,0,1
51,2,6,0,1,0,2,0,0,0,4
35,4,3,0,2,0,3,0,0,0,2
43,8,5,6,0,4,0,0,0,0,0
34,3,4,2,3,0,1,1,0,0,0
26,6,5,0,1,0,0,3,0,0,2
49,2,9,2,3,2,0,0,0,0,7
65,3,1,2,2,2,0,0,2,0,2
33,5,2,5,1,3,0,0,0,0,1
21,12,5,1,3,0,0,3,0,0,0
70,7,4,0,8,0,3,0,0,0,2
64,13,4,1,6,1,6,0,0,0,5
154,19,14,2,7,0,5,0,0,0,2
60,1,3,5,3,0,1,0,0,0,2
61,5,9,4,2,1,0,0,1,0,8
222,10,36,11,8,10,0,13,2,0,2
51,2,4,7,1,5,0,0,0,0,7
66,5,2,6,5,3,2,0,1,0,3
53,8,6,10,4,5,0,0,1,0,1
43,16,15,7,6,5,0,0,0,0,5
58,7,11,4,7,3,0,0,4,0,1
104,30,3,2,5,0,10,1,0,0,1
40,5,3,3,2,0,0,1,0,0,0
74,13,2,2,3,0,7,0,0,0,0
53,8,2,0,3,1,4,1,0,3,2
29,16,7,3,1,0,0,0,0,0,0
94,8,13,9,0,0,0,2,0,0,0
71,5,17,1,0,3,0,2,0,0,0
73,1,2,5,1,0,0,0,1,0,4
50,4,4,0,3,0,4,0,0,0,0
55,3,2,3,4,0,0,0,0,0,0
42,2,6,5,1,1,1,0,0,0,0
32,3,7,3,3,0,0,0,0,0,4
61,7,3,5,4,3,0,0,0,0,3
115,25,4,1,6,4,9,0,0,0,6
65,3,4,3,3,0,0,0,0,0,0
61,8,9,5,3,4,0,0,0,0,1
40,1,2,3,5,0,1,0,0,0,0
87,17,3,5,1,1,0,1,0,0,3
71,5,15,9,8,10,0,0,1,0,9
37,9,6,5,4,5,0,0,0,0,1
48,6,4,3,0,5,0,1,0,0,6
11,26,15,3,7,0,2,3,0,0,4
60,1,5,6,2,0,0,0,1,0,2
66,14,6,5,2,1,0,0,0,0,0
69,2,4,6,6,0,0,0,0,0,3
40,9,3,0,0,0,0,0,0,0,0
86,6,9,2,3,10,0,1,1,0,0
28,2,0,0,2,0,2,0,0,0,2
30,3,4,3,0,1,0,0,0,0,1
70,7,5,6,6,0,0,0,0,0,7
95,4,5,0,5,2,9,0,0,0,10
46,3,1,4,1,4,0,0,1,0,4
36,1,7,0,0,0,0,1,0,0,2
28,2,0,5,2,1,0,0,0,0,9
47,4,8,8,4,4,0,0,1,0,1
70,11,6,1,5,0,0,0,1,1,4
73,1,9,0,1,0,6,0,0,0,0
43,2,2,4,1,0,0,0,0,0,2
117,18,10,8,3,2,0,1,1,0,21
140,11,9,5,9,7,0,0,0,0,1
87,9,4,5,8,0,6,0,0,0,1
122,21,3,4,6,1,0,0,0,0,3
85,6,8,2,3,0,5,1,0,0,0
30,9,7,2,0,2,0,0,0,0,0
60,1,3,2,0,7,0,1,0,0,0
61,4,7,8,0,3,0,0,1,0,4
57,18,3,6,8,0,4,0,0,1,1
30,1,0,2,2,0,0,0,1,0,5
45,1,2,1,1,0,0,2,0,0,6
43,1,1,0,0,1,0,0,0,0,4
37,6,3,3,3,1,0,0,0,0,7
36,6,6,1,0,1,0,0,0,0,1
42,9,1,0,2,0,5,0,0,0,0
101,1,14,7,4,0,6,0,0,0,3
154,13,12,13,4,7,0,1,2,0,5
38,2,2,4,0,4,0,0,1,0,2
65,7,9,1,6,1,0,0,0,0,0
61,1,2,1,2,3,4,0,0,0,0
52,0,7,0,2,0,3,1,0,0,3
54,3,2,0,5,0,3,2,0,0,0
39,3,5,1,2,1,0,0,0,0,2
107,14,15,0,11,0,2,2,0,8,1
33,0,2,0,0,0,0,0,1,0,0
35,2,4,2,3,4,0,0,0,0,7
33,2,1,0,0,0,0,0,1,0,0
24,2,3,0,0,0,0,1,0,0,0
56,5,2,2,0,1,0,1,0,0,0
88,13,9,0,6,2,6,1,0,0,4
147,10,12,0,0,1,0,15,0,0,0
35,3,5,2,1,3,0,0,0,0,5
53,4,5,2,4,2,1,0,0,0,2
57,1,2,2,4,0,1,0,0,0,3
85,2,8,9,9,7,0,2,0,0,3
48,8,4,3,2,0,0,0,0,0,0
156,14,11,10,8,6,0,3,3,0,13
30,13,1,6,1,1,0,0,1,0,7
99,8,17,3,3,1,6,0,1,0,2
99,8,17,3,3,1,6,0,1,0,2
58,1,5,1,0,0,2,0,0,0,0
66,13,19,0,9,0,8,1,0,0,1
45,5,5,4,0,2,0,0,0,0,4
195,46,20,1,19,0,11,1,0,1,1
28,6,1,2,3,0,0,1,0,0,0
65,3,6,1,3,0,6,0,0,0,2
256,24,22,18,1,16,0,11,4,0,14
44,0,3,3,0,3,0,0,0,0,0
105,1,8,0,0,0,5,2,0,0,0
91,4,8,0,11,1,3,1,0,0,4
57,6,8,4,5,1,0,2,0,0,5
58,5,2,0,3,0,7,0,0,0,3
31,8,3,6,0,6,0,1,0,0,1
28,8,7,0,2,2,0,5,1,0,0
69,18,7,2,6,0,0,1,0,0,1
29,3,2,7,0,0,0,0,1,0,2
51,14,7,4,4,1,0,0,0,0,0
27,9,4,0,1,1,6,0,1,0,5
52,5,9,3,1,0,2,2,0,0,1
30,10,9,2,5,1,0,0,0,0,7
61,11,9,11,4,2,0,0,2,0,0
110,6,3,8,7,2,0,0,0,0,2
50,6,6,1,1,1,0,0,0,0,0
48,2,6,3,2,0,3,0,0,0,0
48,11,7,4,5,1,0,0,0,0,0
112,13,16,0,10,0,8,0,0,0,2
31,1,5,7,0,7,0,0,1,0,8
66,10,3,0,4,0,7,1,0,3,0
31,0,2,4,1,3,0,0,0,0,7
53,12,2,7,1,2,0,0,1,0,3
116,29,15,7,10,6,0,0,2,0,5
75,4,18,1,3,7,0,1,1,0,1
59,11,5,8,2,3,6,0,0,0,8
52,1,3,1,0,1,2,0,0,0,0
237,19,18,1,0,5,9,2,0,0,9
69,3,3,1,3,2,0,0,0,0,9
21,2,1,1,3,0,0,0,0,0,1
45,10,5,1,0,1,0,0,0,0,3
49,1,3,3,0,0,1,0,0,0,1
39,7,0,0,2,1,1,1,0,0,2
59,5,4,0,0,1,0,0,0,0,4
89,3,7,4,9,8,0,2,0,0,2
99,7,9,7,4,3,0,0,0,0,18
96,6,1,0,3,3,5,1,0,2,1
52,9,4,1,3,0,3,0,0,0,0
76,3,4,1,3,0,9,0,0,0,5
92,21,6,0,11,0,0,4,0,1,0
50,1,5,0,0,0,1,0,0,1,0
85,11,11,11,5,2,0,0,2,0,0
57,2,9,1,2,4,0,1,1,0,0
35,1,1,2,1,0,1,0,0,0,0
38,9,7,4,0,0,0,0,0,0,3
48,2,4,4,0,2,0,1,0,0,2
148,23,9,1,13,8,5,0,3,0,1
22,11,8,2,5,1,0,1,0,0,2
37,6,3,3,0,0,0,0,0,0,8
133,22,14,5,8,1,1,3,0,1,6
55,1,10,0,8,0,9,0,0,0,0
25,11,7,7,4,2,0,0,0,0,0
39,24,8,0,11,3,3,1,0,0,0
80,10,22,5,3,0,0,0,0,0,0
67,5,3,4,2,5,0,0,0,0,2
204,7,10,11,3,0,0,1,0,5,1
39,5,4,2,2,1,0,1,0,0,4
48,3,3,0,1,0,1,0,0,0,0
36,8,6,4,3,0,0,0,0,0,4
89,5,5,6,7,3,0,1,1,0,5
92,19,15,1,1,0,5,0,0,4,0
41,14,11,15,2,3,0,0,0,0,9
102,4,12,0,6,5,6,1,0,0,11
47,6,4,2,0,6,0,0,0,0,0
63,28,14,6,10,0,1,0,0,0,3
41,6,8,1,0,2,0,0,1,0,1
29,3,3,3,0,0,0,0,1,0,3
53,5,3,1,4,2,0,3,2,0,0
40,6,5,8,0,0,0,0,0,8,4
80,9,6,2,3,7,0,1,1,0,2
50,0,3,1,3,0,0,0,0,0,0
89,3,8,7,3,1,0,0,1,0,1
110,27,21,6,10,4,0,1,0,0,4
78,4,8,2,5,2,0,1,0,0,4
34,6,4,4,0,3,0,0,0,0,0
26,3,2,5,1,0,0,1,2,0,6
59,4,9,5,2,0,1,0,0,0,2
66,10,2,5,1,2,0,0,1,0,0
46,2,2,2,0,2,5,2,0,0,3
36,7,6,1,3,0,0,0,0,0,7
42,9,6,3,2,1,0,0,0,0,0
60,12,10,10,3,0,0,0,1,0,3
36,6,5,0,4,0,1,0,0,0,1
99,13,17,8,9,1,11,1,2,0,30
106,42,10,1,1,4,14,2,0,7,0
65,4,2,0,0,3,0,1,1,0,2
84,25,11,7,15,3,0,3,1,0,0
77,0,2,5,0,1,0,0,0,0,0
70,1,8,0,3,1,2,2,0,0,16
65,5,6,0,4,0,0,0,0,0,0
66,5,6,0,4,0,0,0,0,0,0
53,4,3,6,4,4,0,0,1,0,3
53,4,3,6,4,4,0,0,1,0,3
38,4,0,0,2,0,1,0,0,1,4
85,3,10,5,1,3,2,1,0,0,3
59,3,5,2,0,1,0,3,0,0,4
27,9,6,1,1,2,0,0,0,0,1
38,5,5,3,3,2,0,0,0,0,9
51,0,3,1,2,0,1,0,0,0,0
99,18,6,4,4,1,0,2,0,0,2
48,7,0,3,6,4,1,2,0,0,9
40,13,9,0,1,0,2,2,0,0,3
66,5,9,3,2,1,0,3,0,3,0
111,23,9,6,2,0,0,0,0,7,0
61,5,4,3,7,4,2,1,0,0,0
36,5,2,2,0,3,1,0,0,0,0
175,5,16,8,2,0,1,3,0,0,7
92,12,11,8,5,10,0,1,0,0,7
59,2,6,1,2,4,0,1,0,0,5
45,4,1,4,1,0,0,1,1,0,2
27,1,2,0,0,0,0,0,1,0,0
84,3,4,0,0,0,0,0,1,0,0
84,4,10,5,2,1,0,4,1,0,2
77,9,12,4,1,4,3,1,0,0,3
125,15,7,8,1,2,0,2,0,0,1
66,5,11,3,6,3,0,1,0,0,5
39,11,8,1,5,0,3,1,0,0,0
49,3,7,6,0,4,0,0,1,0,1
47,5,6,0,0,0,0,1,0,0,1
39,2,6,5,2,4,0,0,0,0,2
211,9,4,3,13,3,0,3,1,0,0
47,11,9,2,1,4,2,0,0,0,3
111,28,7,10,4,8,1,1,3,0,11
88,2,6,0,1,2,0,2,0,0,2
55,2,2,0,5,0,5,2,0,6,0
68,5,2,4,2,0,1,0,0,0,2
42,5,9,10,2,6,0,2,0,0,2
45,10,14,9,5,2,0,1,0,0,11
141,7,12,2,5,1,0,4,0,1,7
83,2,5,2,5,0,0,0,1,0,1
89,4,4,4,0,12,3,0,0,0,3
89,6,9,6,3,3,2,0,0,0,3
56,3,5,0,0,0,0,0,1,0,1
181,58,12,3,8,3,11,2,0,1,16
35,10,8,1,3,0,0,0,0,0,0
28,5,3,0,0,0,1,1,0,0,1
178,7,10,0,8,10,16,1,5,0,0
168,4,11,6,3,6,0,0,0,0,8
68,1,8,3,0,1,0,0,2,0,9
57,2,5,2,5,0,3,0,1,0,3
56,16,7,5,0,0,0,0,0,0,3
40,14,5,0,0,1,0,0,0,0,1
56,2,8,3,0,0,0,0,0,0,0
80,11,3,0,0,0,3,3,2,0,0
101,21,7,0,13,2,14,1,0,0,1
36,3,3,0,0,3,2,0,1,0,3
27,2,4,0,2,0,0,0,0,0,0
26,1,4,8,0,1,0,0,0,0,14
174,27,10,10,11,13,0,4,2,0,0
124,12,20,8,6,6,0,3,3,0,1
56,4,5,3,6,1,0,1,0,0,7
80,1,6,0,0,0,0,0,0,0,3
71,1,5,4,1,6,0,0,0,0,2
68,11,1,7,9,0,8,1,0,0,1
50,7,16,4,3,0,0,0,0,0,3
91,45,23,1,2,4,0,0,2,0,25
42,6,10,3,3,0,0,0,0,0,0
56,2,3,0,3,0,2,0,0,0,0
61,3,5,1,1,0,4,1,0,0,0
19,11,4,8,2,2,0,0,0,0,8
47,1,2,0,1,0,0,0,0,0,5
51,12,6,3,0,2,0,0,1,0,4
41,2,2,3,1,0,1,0,0,0,2
152,3,4,5,3,6,0,3,0,0,12
48,9,6,5,7,9,0,0,3,0,3
61,3,4,6,1,0,0,0,2,0,8
42,4,1,1,2,1,4,2,0,0,0
53,2,4,3,2,1,0,0,1,0,0
53,2,4,3,2,1,0,0,1,0,0
35,14,8,1,0,0,0,0,0,0,4
52,17,2,0,6,1,6,0,0,5,2
144,11,13,11,5,5,0,3,1,0,0
67,1,7,6,2,5,0,0,1,0,1
77,2,4,6,0,3,0,0,0,0,2
67,1,8,1,3,1,0,0,0,0,0
59,9,9,3,2,1,0,0,1,0,7
84,29,16,13,0,3,0,0,0,4,9
42,9,8,5,4,6,0,1,1,0,1
37,2,7,4,1,1,0,0,0,3,1
72,7,5,0,0,0,1,1,0,2,0
72,7,5,0,0,0,1,1,0,2,0
67,5,2,2,2,1,1,0,0,0,2
